CustomerID,Gender,Age,Items Purchased,Category,Purchase Amount,Shipping Type,Subscription Status,Season,Country,Age Group
86,Male,22,Sandals,Footwear,25,Next Day Air,No,Winter,United States,18-24
87,Female,22,Blouse,Clothing,41,Next Day Air,Yes,Winter,United States,18-24
88,Female,22,Sneakers,Footwear,22,Next Day Air,No,Winter,United States,18-24
89,Female,22,Shirt,Clothing,63,Next Day Air,Yes,Winter,France,18-24
98,Female,22,Blouse,Clothing,22,Next Day Air,Yes,Winter,Brazil,18-24
99,Male,22,Sneakers,Footwear,21,Next Day Air,No,Winter,Brazil,18-24
100,Male,22,Shirt,Clothing,45,Next Day Air,Yes,Winter,Brazil,18-24
101,Female,22,Shorts,Clothing,77,Next Day Air,No,Winter,France,18-24
102,Female,22,Coat,Outerwear,50,Next Day Air,Yes,Winter,France,18-24
103,Male,22,Handbag,Accessories,25,Next Day Air,No,Winter,France,18-24
104,Male,22,Sunglasses,Accessories,15,Next Day Air,Yes,Winter,France,18-24
105,Male,22,Scarf,Accessories,69,Next Day Air,No,Winter,France,18-24
106,Female,22,Blouse,Clothing,85,Next Day Air,Yes,Winter,France,18-24
107,Female,22,Sweater,Clothing,12,Next Day Air,No,Winter,France,18-24
108,Male,22,Jeans,Clothing,100,Next Day Air,Yes,Winter,France,18-24
109,Male,22,Sandals,Footwear,23,Next Day Air,No,Winter,France,18-24
110,Male,22,Blouse,Clothing,14,Next Day Air,Yes,Winter,France,18-24
111,Male,22,Sneakers,Footwear,25,Next Day Air,No,Winter,France,18-24
112,Female,22,Shirt,Clothing,41,Next Day Air,Yes,Winter,France,18-24
113,Female,22,Shorts,Clothing,22,Next Day Air,No,Winter,France,18-24
114,Male,22,Coat,Outerwear,63,Next Day Air,Yes,Winter,France,18-24
115,Female,22,Handbag,Accessories,55,Next Day Air,No,Winter,France,18-24
116,Female,22,Sunglasses,Accessories,98,Next Day Air,Yes,Winter,France,18-24
117,Female,22,Scarf,Accessories,99,Next Day Air,No,Winter,France,18-24
118,Female,22,Blouse,Clothing,65,Next Day Air,Yes,Winter,Brazil,18-24
119,Female,22,Sweater,Clothing,35,Next Day Air,No,Winter,Brazil,18-24
120,Female,22,Jeans,Clothing,85,Next Day Air,Yes,Winter,Brazil,18-24
121,Male,22,Sandals,Footwear,96,Next Day Air,No,Winter,Brazil,18-24
122,Female,22,Blouse,Clothing,74,Next Day Air,Yes,Winter,Brazil,18-24
123,Female,22,Sneakers,Footwear,52,Next Day Air,No,Winter,Brazil,18-24
124,Male,22,Shirt,Clothing,22,Next Day Air,Yes,Winter,Brazil,18-24
125,Female,22,Shorts,Clothing,21,Next Day Air,No,Winter,Brazil,18-24
126,Female,22,Handbag,Accessories,77,Next Day Air,No,Winter,Brazil,18-24
127,Male,22,Sunglasses,Accessories,50,Next Day Air,Yes,Winter,Brazil,18-24
129,Male,22,Scarf,Accessories,15,Next Day Air,Yes,Winter,Brazil,18-24
130,Male,22,Blouse,Clothing,69,Next Day Air,No,Winter,Brazil,18-24
131,Male,22,Sweater,Footwear,85,Next Day Air,Yes,Winter,Brazil,18-24
132,Male,22,Jeans,Clothing,12,Next Day Air,No,Winter,Brazil,18-24
133,Female,22,Sandals,Clothing,100,Next Day Air,Yes,Winter,Brazil,18-24
134,Female,22,Blouse,Outerwear,23,Next Day Air,No,Winter,Brazil,18-24
135,Male,22,Shirt,Accessories,25,Next Day Air,No,Winter,Brazil,18-24
136,Female,22,Shorts,Accessories,41,Next Day Air,Yes,Winter,Brazil,18-24
137,Female,22,Coat,Outerwear,22,Next Day Air,No,Winter,Brazil,18-24
138,Male,22,Handbag,Accessories,63,Next Day Air,Yes,Winter,Brazil,18-24
139,Male,22,Sunglasses,Accessories,55,Free Shipping,No,Winter,Brazil,18-24
140,Female,22,Scarf,Accessories,98,Free Shipping,Yes,Winter,Brazil,18-24
141,Female,22,Scarf,Accessories,99,Free Shipping,No,Winter,Brazil,18-24
142,Male,22,Scarf,Accessories,65,Free Shipping,Yes,Winter,Brazil,18-24
143,Female,22,Scarf,Accessories,35,Free Shipping,No,Winter,Brazil,18-24
144,Female,22,Scarf,Accessories,85,Free Shipping,Yes,Winter,Brazil,18-24
145,Male,22,Scarf,Accessories,96,Free Shipping,No,Winter,United States,18-24
146,Male,22,Scarf,Accessories,74,Free Shipping,Yes,Winter,United States,18-24
147,Male,22,Scarf,Accessories,52,Free Shipping,No,Winter,United States,18-24
148,Female,22,Scarf,Accessories,22,Free Shipping,Yes,Winter,United States,18-24
149,Female,22,Scarf,Accessories,21,Free Shipping,No,Winter,United States,18-24
150,Male,22,Scarf,Accessories,45,Free Shipping,Yes,Winter,United States,18-24
151,Male,22,Scarf,Accessories,77,Free Shipping,No,Winter,United States,18-24
152,Male,22,Scarf,Accessories,50,Free Shipping,Yes,Winter,United States,18-24
153,Female,22,Scarf,Accessories,25,Free Shipping,No,Winter,United States,18-24
154,Female,22,Scarf,Accessories,15,Free Shipping,Yes,Winter,United States,18-24
155,Female,22,Scarf,Accessories,69,Free Shipping,No,Winter,United States,18-24
156,Female,22,Scarf,Accessories,85,Free Shipping,Yes,Winter,United States,18-24
157,Male,22,Sunglasses,Accessories,12,Free Shipping,No,Winter,United States,18-24
158,Female,22,Sunglasses,Accessories,100,Free Shipping,Yes,Winter,United States,18-24
159,Male,22,Sunglasses,Accessories,23,Free Shipping,No,Winter,United States,18-24
160,Female,22,Sunglasses,Accessories,14,Free Shipping,Yes,Winter,United States,18-24
161,Female,22,Sunglasses,Accessories,25,Free Shipping,No,Winter,United States,18-24
171,Male,22,Sunglasses,Accessories,96,Free Shipping,No,Winter,United States,18-24
172,Male,22,Sunglasses,Accessories,74,Free Shipping,Yes,Winter,United States,18-24
173,Male,22,Sunglasses,Accessories,52,Free Shipping,No,Winter,United States,18-24
174,Male,22,Sunglasses,Accessories,22,Free Shipping,Yes,Winter,United States,18-24
175,Female,22,Sunglasses,Accessories,21,Free Shipping,No,Winter,United States,18-24
176,Female,22,Sunglasses,Accessories,45,Free Shipping,Yes,Winter,United States,18-24
177,Male,22,Sunglasses,Accessories,77,Free Shipping,No,Winter,United States,18-24
178,Male,22,Sunglasses,Accessories,50,Free Shipping,Yes,Winter,Turkey,18-24
179,Male,22,Handbag,Accessories,25,Free Shipping,No,Winter,Turkey,18-24
180,Male,22,Handbag,Accessories,15,Free Shipping,Yes,Winter,Turkey,18-24
181,Female,22,Handbag,Accessories,69,Free Shipping,No,Winter,Turkey,18-24
182,Female,22,Handbag,Accessories,85,Free Shipping,Yes,Winter,Turkey,18-24
183,Male,22,Handbag,Accessories,12,Free Shipping,No,Winter,Turkey,18-24
184,Female,22,Handbag,Accessories,100,Free Shipping,Yes,Winter,Turkey,18-24
185,Female,22,Handbag,Accessories,23,Free Shipping,No,Winter,Turkey,18-24
186,Male,22,Handbag,Accessories,14,Free Shipping,Yes,Winter,Turkey,18-24
187,Female,22,Handbag,Accessories,25,Free Shipping,No,Winter,Turkey,18-24
188,Male,22,Handbag,Accessories,41,Free Shipping,Yes,Winter,Turkey,18-24
189,Female,22,Handbag,Accessories,22,Free Shipping,No,Winter,Turkey,18-24
190,Female,22,Handbag,Accessories,63,Free Shipping,Yes,Winter,Turkey,18-24
191,Female,22,Handbag,Accessories,55,Free Shipping,No,Winter,Brazil,18-24
192,Female,22,Handbag,Accessories,98,Free Shipping,Yes,Winter,Brazil,18-24
193,Male,22,Handbag,Accessories,99,Free Shipping,No,Winter,Brazil,18-24
194,Female,22,Handbag,Accessories,65,Free Shipping,Yes,Winter,Brazil,18-24
195,Female,22,Handbag,Accessories,35,Free Shipping,No,Winter,Brazil,18-24
197,Female,22,Handbag,Accessories,96,Free Shipping,No,Winter,Brazil,18-24
198,Male,22,Coat,Outerwear,74,Free Shipping,Yes,Winter,Brazil,18-24
200,Male,22,Coat,Outerwear,22,Free Shipping,Yes,Winter,Brazil,18-24
202,Male,22,Coat,Outerwear,45,Free Shipping,Yes,Winter,Brazil,18-24
203,Female,22,Coat,Outerwear,77,Free Shipping,No,Winter,Brazil,18-24
204,Female,22,Coat,Outerwear,50,Free Shipping,Yes,Winter,Brazil,18-24
205,Female,22,Coat,Outerwear,25,Free Shipping,No,Winter,Brazil,18-24
207,Female,22,Coat,Outerwear,69,Free Shipping,No,Winter,Brazil,18-24
208,Male,22,Coat,Outerwear,85,Free Shipping,Yes,Winter,Brazil,18-24
209,Female,22,Coat,Outerwear,12,Free Shipping,No,Winter,Brazil,18-24
210,Female,22,Coat,Outerwear,100,Free Shipping,Yes,Winter,Brazil,18-24
211,Female,22,Coat,Outerwear,23,Free Shipping,No,Winter,Brazil,18-24
212,Female,22,Coat,Outerwear,14,Free Shipping,Yes,Winter,Brazil,18-24
213,Male,22,Coat,Outerwear,25,Free Shipping,No,Winter,Brazil,18-24
216,Female,22,Coat,Outerwear,63,Free Shipping,Yes,Winter,Brazil,18-24
217,Male,22,Coat,Outerwear,55,Free Shipping,No,Winter,Brazil,18-24
218,Female,22,Coat,Outerwear,98,Free Shipping,Yes,Winter,Brazil,18-24
219,Female,22,Coat,Outerwear,99,Free Shipping,No,Winter,Brazil,18-24
221,Female,22,Coat,Outerwear,35,Free Shipping,No,Winter,Brazil,18-24
222,Female,22,Coat,Outerwear,85,Free Shipping,Yes,Winter,Brazil,18-24
223,Male,22,Coat,Outerwear,96,Free Shipping,No,Winter,Brazil,18-24
224,Female,22,Coat,Outerwear,74,Free Shipping,Yes,Winter,Brazil,18-24
225,Female,22,Coat,Outerwear,52,Free Shipping,No,Winter,Brazil,18-24
226,Female,22,Coat,Outerwear,22,Free Shipping,Yes,Winter,Algeria,18-24
227,Female,22,Coat,Outerwear,21,Free Shipping,No,Winter,Algeria,18-24
228,Male,22,Coat,Outerwear,45,Free Shipping,Yes,Winter,Algeria,18-24
229,Male,22,Coat,Outerwear,77,Express,No,Winter,Algeria,18-24
230,Male,22,Coat,Outerwear,50,Free Shipping,Yes,Winter,Algeria,18-24
231,Female,22,Coat,Outerwear,25,Next Day Air,No,Winter,Algeria,18-24
232,Male,22,Coat,Outerwear,15,2-Day Shipping,Yes,Winter,Algeria,18-24
233,Female,22,Coat,Outerwear,69,2-Day Shipping,No,Winter,Australia,18-24
234,Female,22,Coat,Outerwear,85,2-Day Shipping,Yes,Winter,Australia,18-24
235,Female,22,Coat,Outerwear,12,2-Day Shipping,No,Winter,Australia,18-24
236,Female,22,Coat,Outerwear,100,2-Day Shipping,Yes,Winter,Australia,18-24
237,Male,22,Coat,Outerwear,23,2-Day Shipping,No,Winter,Australia,18-24
238,Male,22,Coat,Outerwear,14,2-Day Shipping,Yes,Winter,Australia,18-24
241,Male,22,Coat,Outerwear,22,2-Day Shipping,No,Winter,Australia,18-24
242,Female,22,Coat,Outerwear,63,2-Day Shipping,Yes,Winter,Australia,18-24
243,Female,22,Coat,Outerwear,55,2-Day Shipping,No,Winter,Australia,18-24
244,Female,22,Coat,Outerwear,98,2-Day Shipping,Yes,Winter,Australia,18-24
245,Female,22,Coat,Outerwear,99,2-Day Shipping,No,Winter,Australia,18-24
246,Female,22,Coat,Outerwear,65,2-Day Shipping,Yes,Winter,Australia,18-24
247,Male,23,Coat,Outerwear,35,2-Day Shipping,No,Winter,Australia,18-24
248,Female,25,Coat,Outerwear,85,2-Day Shipping,Yes,Winter,Australia,18-24
249,Female,46,Coat,Outerwear,96,2-Day Shipping,No,Winter,Australia,45-54
250,Female,28,Coat,Outerwear,74,Express,Yes,Winter,Australia,25-34
251,Male,24,Coat,Outerwear,52,Express,No,Winter,Australia,18-24
252,Female,27,Coat,Outerwear,22,Express,Yes,Winter,Afghanistan,25-34
253,Female,22,Coat,Outerwear,21,Express,No,Winter,Argentina,18-24
254,Female,22,Coat,Outerwear,45,Express,Yes,Winter,Argentina,18-24
255,Female,22,Coat,Outerwear,77,Express,No,Winter,Argentina,18-24
256,Male,22,Coat,Outerwear,50,Express,Yes,Winter,Argentina,18-24
257,Male,22,Coat,Outerwear,25,Express,No,Winter,Argentina,18-24
258,Male,22,Coat,Outerwear,15,Express,Yes,Winter,Argentina,18-24
259,Female,22,Coat,Outerwear,69,Express,No,Winter,Argentina,18-24
260,Male,22,Coat,Outerwear,85,Express,Yes,Winter,Argentina,18-24
261,Female,22,Coat,Outerwear,12,Express,No,Winter,Argentina,18-24
262,Female,22,Coat,Outerwear,100,Next Day Air,Yes,Winter,Argentina,18-24
263,Female,22,Coat,Outerwear,23,Next Day Air,No,Winter,Argentina,18-24
264,Female,22,Coat,Outerwear,14,Next Day Air,Yes,Winter,Turkey,18-24
265,Female,22,Coat,Outerwear,25,Next Day Air,No,Winter,Turkey,18-24
266,Male,22,Coat,Outerwear,41,Next Day Air,Yes,Winter,Turkey,18-24
267,Female,22,Coat,Outerwear,22,Next Day Air,No,Winter,Turkey,18-24
268,Female,22,Coat,Outerwear,63,Next Day Air,Yes,Winter,Turkey,18-24
269,Female,22,Coat,Outerwear,55,Next Day Air,No,Winter,Turkey,18-24
270,Female,22,Coat,Outerwear,98,Next Day Air,Yes,Winter,Turkey,18-24
271,Male,22,Coat,Outerwear,99,Next Day Air,No,Winter,Turkey,18-24
272,Female,22,Coat,Outerwear,65,Next Day Air,Yes,Winter,Afghanistan,18-24
273,Female,22,Coat,Outerwear,35,Next Day Air,No,Winter,Afghanistan,18-24
274,Female,22,Coat,Outerwear,85,Next Day Air,Yes,Winter,Afghanistan,18-24
275,Female,33,Coat,Outerwear,96,Next Day Air,No,Winter,Afghanistan,25-34
276,Male,33,Coat,Outerwear,74,Next Day Air,Yes,Winter,Afghanistan,25-34
277,Male,33,Coat,Outerwear,52,Next Day Air,No,Winter,Afghanistan,25-34
278,Male,33,Coat,Outerwear,22,Next Day Air,Yes,Winter,Afghanistan,25-34
279,Female,33,Coat,Outerwear,21,Next Day Air,No,Winter,Pakistan,25-34
280,Male,33,Coat,Outerwear,45,Next Day Air,Yes,Winter,Pakistan,25-34
281,Female,33,Coat,Outerwear,77,Next Day Air,No,Winter,Pakistan,25-34
282,Female,33,Coat,Outerwear,50,Next Day Air,Yes,Winter,Pakistan,25-34
283,Female,33,Coat,Outerwear,25,Next Day Air,No,Winter,Pakistan,25-34
284,Female,33,Coat,Outerwear,15,Next Day Air,Yes,Winter,Pakistan,25-34
285,Female,33,Coat,Outerwear,69,Next Day Air,No,Winter,Pakistan,25-34
286,Male,33,Coat,Outerwear,85,Next Day Air,Yes,Winter,Pakistan,25-34
287,Female,33,Coat,Outerwear,12,Next Day Air,No,Winter,Pakistan,25-34
288,Female,33,Coat,Outerwear,100,Next Day Air,Yes,Winter,Pakistan,25-34
289,Female,33,Coat,Outerwear,23,Next Day Air,No,Winter,Pakistan,25-34
290,Female,33,Coat,Outerwear,14,Next Day Air,Yes,Winter,Pakistan,25-34
291,Male,33,Coat,Outerwear,25,Next Day Air,No,Winter,Pakistan,25-34
292,Female,33,Coat,Outerwear,41,Next Day Air,Yes,Winter,Pakistan,25-34
293,Male,33,Coat,Outerwear,22,Next Day Air,No,Winter,Pakistan,25-34
294,Female,33,Coat,Outerwear,63,Next Day Air,Yes,Winter,Pakistan,25-34
295,Female,33,Coat,Outerwear,55,Next Day Air,No,Winter,Afghanistan,25-34
296,Female,60,Coat,Outerwear,98,Next Day Air,Yes,Winter,Afghanistan,55-64
297,Female,60,Coat,Outerwear,99,Next Day Air,No,Winter,Afghanistan,55-64
298,Male,60,Coat,Outerwear,65,Next Day Air,Yes,Winter,Afghanistan,55-64
299,Male,60,Coat,Outerwear,35,Next Day Air,No,Winter,Afghanistan,55-64
300,Male,60,Coat,Outerwear,85,Next Day Air,Yes,Winter,Afghanistan,55-64
301,Male,60,Coat,Outerwear,96,Next Day Air,No,Winter,Afghanistan,55-64
302,Male,60,Coat,Outerwear,74,Next Day Air,Yes,Winter,Afghanistan,55-64
303,Female,60,Coat,Outerwear,52,Next Day Air,No,Winter,Afghanistan,55-64
304,Female,60,Coat,Outerwear,22,Next Day Air,Yes,Winter,Afghanistan,55-64
305,Female,60,Coat,Outerwear,21,Next Day Air,No,Winter,Afghanistan,55-64
306,Female,60,Coat,Outerwear,45,Next Day Air,Yes,Winter,Afghanistan,55-64
307,Female,60,Coat,Outerwear,77,Next Day Air,No,Winter,Afghanistan,55-64
308,Female,60,Coat,Outerwear,50,Next Day Air,Yes,Winter,Afghanistan,55-64
309,Male,60,Coat,Outerwear,25,Next Day Air,No,Winter,Afghanistan,55-64
310,Female,55,Coat,Outerwear,15,Next Day Air,Yes,Winter,Afghanistan,45-54
311,Male,55,Coat,Outerwear,69,Next Day Air,No,Winter,Afghanistan,45-54
312,Female,55,Coat,Outerwear,85,Next Day Air,Yes,Winter,Afghanistan,45-54
313,Female,55,Coat,Outerwear,12,Next Day Air,No,Winter,Afghanistan,45-54
314,Female,55,Coat,Outerwear,100,Next Day Air,Yes,Winter,Afghanistan,45-54
315,Male,55,Coat,Outerwear,23,Next Day Air,No,Winter,Afghanistan,45-54
316,Male,55,Coat,Outerwear,14,Next Day Air,Yes,Winter,Afghanistan,45-54
317,Female,55,Coat,Outerwear,25,Next Day Air,No,Winter,Afghanistan,45-54
318,Male,55,Coat,Outerwear,41,Next Day Air,Yes,Winter,Afghanistan,45-54
319,Male,55,Coat,Outerwear,22,Next Day Air,No,Winter,Afghanistan,45-54
320,Female,55,Coat,Outerwear,63,Next Day Air,Yes,Winter,Afghanistan,45-54
321,Male,55,Coat,Outerwear,55,Next Day Air,No,Winter,Afghanistan,45-54
322,Male,55,Coat,Outerwear,98,Next Day Air,Yes,Winter,Afghanistan,45-54
323,Female,55,Coat,Outerwear,99,Next Day Air,No,Winter,Afghanistan,45-54
324,Male,55,Coat,Outerwear,65,Next Day Air,Yes,Winter,Afghanistan,45-54
325,Female,55,Coat,Outerwear,35,Next Day Air,No,Winter,Afghanistan,45-54
326,Male,55,Coat,Outerwear,85,Next Day Air,Yes,Winter,Afghanistan,45-54
327,Female,55,Coat,Outerwear,96,Next Day Air,No,Winter,Afghanistan,45-54
328,Male,18,Coat,Outerwear,74,Next Day Air,Yes,Winter,Afghanistan,Under 18
329,Female,20,Coat,Outerwear,52,Next Day Air,No,Winter,Afghanistan,18-24
330,Female,35,Coat,Outerwear,22,Next Day Air,Yes,Winter,Afghanistan,25-34
331,Male,45,Coat,Outerwear,21,Next Day Air,No,Winter,Afghanistan,35-44
332,Female,60,Coat,Outerwear,45,Next Day Air,Yes,Winter,Afghanistan,55-64
333,Male,22,Coat,Outerwear,77,Next Day Air,No,Winter,Afghanistan,18-24
334,Male,24,Coat,Outerwear,50,Next Day Air,Yes,Winter,Afghanistan,18-24
335,Female,68,Coat,Outerwear,25,Next Day Air,No,Winter,Afghanistan,65+
336,Female,53,Coat,Outerwear,15,Next Day Air,Yes,Winter,Afghanistan,45-54
337,Female,74,Coat,Outerwear,69,Next Day Air,No,Winter,Afghanistan,65+
338,Female,55,Coat,Outerwear,85,Next Day Air,Yes,Winter,Afghanistan,45-54
339,Female,51,Coat,Outerwear,12,Next Day Air,No,Winter,Afghanistan,45-54
340,Female,42,Coat,Outerwear,100,Next Day Air,Yes,Winter,Afghanistan,35-44
341,Female,43,Coat,Outerwear,23,Next Day Air,No,Winter,Afghanistan,35-44
342,Male,47,Coat,Outerwear,14,Next Day Air,Yes,Winter,Afghanistan,45-54
343,Male,48,Coat,Outerwear,25,Next Day Air,No,Winter,Afghanistan,45-54
344,Female,60,Coat,Outerwear,41,Next Day Air,Yes,Winter,Afghanistan,55-64
345,Female,22,Coat,Outerwear,22,Next Day Air,No,Winter,Afghanistan,18-24
346,Female,21,Coat,Outerwear,63,Next Day Air,Yes,Winter,Afghanistan,18-24
347,Female,19,Coat,Outerwear,55,Next Day Air,No,Winter,Afghanistan,18-24
348,Female,23,Coat,Outerwear,98,Next Day Air,Yes,Winter,Afghanistan,18-24
349,Female,25,Coat,Outerwear,99,Next Day Air,No,Winter,Afghanistan,18-24
350,Female,25,Coat,Outerwear,65,Next Day Air,Yes,Winter,Afghanistan,18-24
351,Female,26,Coat,Outerwear,35,Next Day Air,No,Winter,Afghanistan,25-34
352,Male,28,Coat,Outerwear,85,Next Day Air,Yes,Winter,Afghanistan,25-34
353,Female,27,Coat,Outerwear,96,Next Day Air,No,Winter,Afghanistan,25-34
354,Male,29,Coat,Outerwear,74,Next Day Air,Yes,Winter,Afghanistan,25-34
355,Female,21,Coat,Outerwear,52,Next Day Air,No,Winter,Afghanistan,18-24
356,Male,24,Coat,Outerwear,22,Next Day Air,Yes,Winter,Afghanistan,18-24
357,Female,25,Coat,Outerwear,21,Next Day Air,No,Winter,Afghanistan,18-24
358,Male,26,Coat,Outerwear,45,Next Day Air,Yes,Winter,Afghanistan,25-34
359,Female,23,Coat,Outerwear,77,Next Day Air,No,Winter,Afghanistan,18-24
360,Male,25,Coat,Outerwear,50,Next Day Air,Yes,Winter,Afghanistan,18-24
361,Male,33,Coat,Outerwear,25,Next Day Air,No,Winter,Afghanistan,25-34
362,Male,33,Coat,Outerwear,15,Next Day Air,Yes,Winter,Afghanistan,25-34
